# y	z	wx	wy	wz

0.000000 0.000000 -1.831754e-019 4.392437e-016 -1.130257e-015
0.089008 0.089008 -7.326163e-05 -6.008079e-01 6.010668e-01
0.173553 0.173553 -6.708568e-04 -1.075366e+00 1.076802e+00
0.249396 0.249396 -1.645390e-03 -1.361749e+00 1.364645e+00
0.312733 0.312733 -2.318267e-03 -1.462777e+00 1.466514e+00
0.360388 0.360388 -2.717057e-03 -1.398474e+00 1.402446e+00
0.389971 0.389971 -2.984571e-03 -1.246792e+00 1.250416e+00
0.400000 0.400000 -3.026447e-03 -1.159767e+00 1.163063e+00 
