#y	z	 wx	wy	wz
0.000000 0.000000 1.239252e-018 1.998485e-015 -3.918492e-016
0.089008 0.089008 -1.420510e-05 -6.056298e-01 6.057194e-01 
0.173553 0.173553 -1.438274e-04 -1.092274e+00 1.092809e+00
0.249396 0.249396 -3.661354e-04 -1.393579e+00 1.394643e+00
0.312733 0.312733 -4.965540e-04 -1.502318e+00 1.503586e+00
0.360388 0.360388 -5.372495e-04 -1.435542e+00 1.436773e+00
0.389971 0.389971 -5.668641e-04 -1.275451e+00 1.276501e+00 
0.400000 0.400000 -5.764398e-04 -1.184051e+00 1.184976e+00
