# y  z 	wx 	wy 	wz

0.000000 0.000000 1.470434e-018 5.627502e-016 -8.969858e-018
0.089008 0.000000  -1.758136e-016 -1.245130e-015 6.288047e-001 
0.173553 0.000000  7.865455e-17 -6.856052e-16 1.260326e+00 
0.249396 0.000000  -1.793654e-016 4.695405e-016 1.880186e+000 
0.312733 0.000000  -3.764647e-016 -7.631327e-017 2.452967e+000 
0.360388 0.000000 -5.637532e-015 2.521197e-015 2.884841e+000 
0.389971 0.000000  2.732861e-009 -1.276050e-008 3.067720e+000 
0.400000 0.000000  -1.307483e-08 2.730023e-08 3.080278e+00 
