# y  z 	wx 	wy 	wz

0.000000 0.000000 -8.984305e-18 1.452154e-17 1.339138e-16
0.089008 0.000000  1.707366e-14 5.672346e-14 5.977485e-01 
0.173553 0.000000  -2.480539e-12 2.479656e-11 1.154500e+00 
0.249396 0.000000  4.135278e-13 1.364734e-13 1.636410e+00 
0.312733 0.000000  -9.351938e-14 1.798269e-13 2.026366e+00  
0.360388 0.000000  2.038651e-14 1.607209e-14  2.303244e+00 
0.389971 0.000000  2.940393e-13 6.552276e-13 2.444240e+00 
0.400000 0.000000  2.219325e-09 2.108918e-08 2.448607e+00 
