# y  z  Ux  Uy  Uz

0.000000e+00 0.000000e+00 -2.264821e-13 4.692610e-06 -7.289313e-07
7.812500e-03 0.000000e+00 -1.943482e-08 4.708711e-06 9.623374e-02
1.562500e-02 0.000000e+00 -3.916717e-08 4.725140e-06 1.925543e-01
2.343750e-02 0.000000e+00 -5.925456e-08 4.741955e-06 2.890474e-01
3.125000e-02 0.000000e+00 -7.972046e-08 4.759015e-06 3.857999e-01
3.906250e-02 0.000000e+00 -1.005692e-07 4.776241e-06 4.828990e-01
4.687500e-02 0.000000e+00 -1.218013e-07 4.793416e-06 5.804320e-01
5.468750e-02 0.000000e+00 -1.434282e-07 4.810666e-06 6.784866e-01
6.250000e-02 0.000000e+00 -1.653655e-07 4.828357e-06 7.771503e-01
7.031250e-02 0.000000e+00 -1.876018e-07 4.846411e-06 8.765107e-01
7.812500e-02 0.000000e+00 -2.101198e-07 4.864352e-06 9.766557e-01
8.593750e-02 0.000000e+00 -2.329677e-07 4.881659e-06 1.077673e+00
9.375000e-02 0.000000e+00 -2.560316e-07 4.898209e-06 1.179652e+00
1.015625e-01 0.000000e+00 -2.792264e-07 4.913951e-06 1.282681e+00
1.093750e-01 0.000000e+00 -3.025916e-07 4.929254e-06 1.386849e+00
1.171875e-01 0.000000e+00 -3.257713e-07 4.944234e-06 1.492246e+00
1.250000e-01 0.000000e+00 -3.487596e-07 4.957813e-06 1.598963e+00
1.328125e-01 0.000000e+00 -3.712893e-07 4.969972e-06 1.707090e+00
1.406250e-01 0.000000e+00 -3.932195e-07 4.980003e-06 1.816719e+00
1.484375e-01 0.000000e+00 -4.144787e-07 4.987683e-06 1.927944e+00
1.562500e-01 0.000000e+00 -4.348644e-07 4.993358e-06 2.040858e+00
1.640625e-01 0.000000e+00 -4.539667e-07 4.997327e-06 2.155554e+00
1.718750e-01 0.000000e+00 -4.716614e-07 4.998601e-06 2.272130e+00
1.796875e-01 0.000000e+00 -4.873159e-07 4.997507e-06 2.390681e+00
1.875000e-01 0.000000e+00 -5.008014e-07 4.993798e-06 2.511304e+00
1.953125e-01 0.000000e+00 -5.117299e-07 4.986264e-06 2.634100e+00
2.031250e-01 0.000000e+00 -5.197091e-07 4.976018e-06 2.759167e+00
2.109375e-01 0.000000e+00 -5.242463e-07 4.962621e-06 2.886607e+00
2.187500e-01 0.000000e+00 -5.249315e-07 4.946072e-06 3.016522e+00
2.265625e-01 0.000000e+00 -5.213379e-07 4.926250e-06 3.149015e+00
2.343750e-01 0.000000e+00 -5.127479e-07 4.903744e-06 3.284191e+00
2.421875e-01 0.000000e+00 -4.990496e-07 4.876926e-06 3.422156e+00
2.500000e-01 0.000000e+00 -4.800062e-07 4.846224e-06 3.563016e+00
2.578125e-01 0.000000e+00 -4.554082e-07 4.812742e-06 3.706879e+00
2.656250e-01 0.000000e+00 -4.246911e-07 4.774306e-06 3.853852e+00
2.734375e-01 0.000000e+00 -3.878869e-07 4.732705e-06 4.004045e+00
2.812500e-01 0.000000e+00 -3.444755e-07 4.687464e-06 4.157567e+00
2.890625e-01 0.000000e+00 -2.945362e-07 4.637229e-06 4.314528e+00
2.968750e-01 0.000000e+00 -2.383069e-07 4.584259e-06 4.475037e+00
3.046875e-01 0.000000e+00 -1.760565e-07 4.527475e-06 4.639205e+00
3.125000e-01 0.000000e+00 -1.083020e-07 4.466634e-06 4.807139e+00
3.203125e-01 0.000000e+00 -3.491874e-08 4.404107e-06 4.978950e+00
3.281250e-01 0.000000e+00 4.260636e-08 4.338207e-06 5.154744e+00
3.359375e-01 0.000000e+00 1.230292e-07 4.268148e-06 5.334628e+00
3.437500e-01 0.000000e+00 2.048355e-07 4.196569e-06 5.518707e+00
3.515625e-01 0.000000e+00 2.854918e-07 4.121976e-06 5.707085e+00
3.593750e-01 0.000000e+00 3.622227e-07 4.047430e-06 5.899861e+00
3.671875e-01 0.000000e+00 4.325355e-07 3.974490e-06 6.097135e+00
3.750000e-01 0.000000e+00 4.927681e-07 3.898128e-06 6.299001e+00
3.828125e-01 0.000000e+00 5.417920e-07 3.821270e-06 6.505552e+00
3.906250e-01 0.000000e+00 5.800302e-07 3.747067e-06 6.716876e+00
3.984375e-01 0.000000e+00 6.129939e-07 3.671661e-06 6.933056e+00
4.062500e-01 0.000000e+00 6.508281e-07 3.605028e-06 7.154174e+00
4.140625e-01 0.000000e+00 7.021793e-07 3.532609e-06 7.380303e+00
4.218750e-01 0.000000e+00 7.540611e-07 3.471457e-06 7.611515e+00
4.296875e-01 0.000000e+00 7.302987e-07 3.407311e-06 7.847873e+00
4.375000e-01 0.000000e+00 4.020557e-07 3.367218e-06 8.089437e+00
4.453125e-01 0.000000e+00 -7.105462e-07 3.300397e-06 8.336263e+00
4.531250e-01 0.000000e+00 -3.386946e-06 3.284061e-06 8.588397e+00
4.609375e-01 0.000000e+00 -8.549181e-06 3.200490e-06 8.845887e+00
4.687500e-01 0.000000e+00 -1.673426e-05 3.225774e-06 9.108759e+00
4.765625e-01 0.000000e+00 -2.733787e-05 3.074407e-06 9.377083e+00
4.843750e-01 0.000000e+00 -3.808188e-05 3.114058e-06 9.650730e+00
4.921875e-01 0.000000e+00 -4.745869e-05 3.388095e-06 9.930755e+00
5.000000e-01 0.000000e+00 -5.917738e-05 0.000000e+00 1.021267e+01

