# y	z	wx	wy	wz

0.000000 0.000000 1.239252e-018 1.998485e-015 -3.918492e-016
0.089008 0.000000  1.769195e-015 -3.827851e-015 6.278548e-001 
0.173553 0.000000  -1.277277e-016 1.097236e-016 1.257044e+000 
0.249396 0.000000  1.775471e-016 -2.492745e-016 1.871630e+000 
0.312733 0.000000  -2.098289e-016 -6.119617e-016 2.434881e+000 
0.360388 0.000000  7.678208e-015 -3.475503e-015 2.853966e+000 
0.389971 0.000000  4.747649e-015 1.437644e-014 3.029448e+000 
0.400000 0.000000  2.226881e-008 -5.605913e-008 3.039402e+000 
