 y	z	wx	wy	wz

0.000000 0.00000 -1.858793e-013 -1.784267e-008 4.653584e-008
0.089008 0.00000  2.073737e-011 5.363387e-009 5.374628e-001
0.173553 0.00000  7.639436e-010 -1.626788e-008 9.887156e-001
0.249396 0.00000  -7.082769e-010 -6.825708e-009 1.348708e+000
0.312733 0.00000  -2.787104e-009 3.240161e-008 1.644859e+000
0.360388 0.00000  -3.225104e-012 -4.905436e-012 1.910330e+000
0.389971 0.00000  -7.565049e-005 4.522604e-005 2.161799e+000
0.400000 0.00000  1.634572e-005 -4.712590e-006 2.199710e+000
