# y  z  Ux  Uy  Uz

0.000000e+00 0.000000e+00 -2.630927e-13 -4.990998e-06 -5.142075e-07
7.812500e-03 0.000000e+00 3.147191e-08 -4.983739e-06 1.107554e-01
1.562500e-02 0.000000e+00 6.292208e-08 -4.976595e-06 2.215706e-01
2.343750e-02 0.000000e+00 9.437928e-08 -4.969514e-06 3.325047e-01
3.125000e-02 0.000000e+00 1.257966e-07 -4.962499e-06 4.436170e-01
3.906250e-02 0.000000e+00 1.571683e-07 -4.955439e-06 5.549669e-01
4.687500e-02 0.000000e+00 1.884475e-07 -4.948183e-06 6.666139e-01
5.468750e-02 0.000000e+00 2.195017e-07 -4.940796e-06 7.786174e-01
6.250000e-02 0.000000e+00 2.503445e-07 -4.933163e-06 8.910371e-01
7.031250e-02 0.000000e+00 2.808625e-07 -4.925205e-06 1.003932e+00
7.812500e-02 0.000000e+00 3.109355e-07 -4.916857e-06 1.117363e+00
8.593750e-02 0.000000e+00 3.404774e-07 -4.907883e-06 1.231388e+00
9.375000e-02 0.000000e+00 3.691898e-07 -4.898142e-06 1.346067e+00
1.015625e-01 0.000000e+00 3.969268e-07 -4.887357e-06 1.461461e+00
1.093750e-01 0.000000e+00 4.235009e-07 -4.875472e-06 1.577628e+00
1.171875e-01 0.000000e+00 4.486236e-07 -4.862530e-06 1.694629e+00
1.250000e-01 0.000000e+00 4.719904e-07 -4.848277e-06 1.812523e+00
1.328125e-01 0.000000e+00 4.931278e-07 -4.832634e-06 1.931370e+00
1.406250e-01 0.000000e+00 5.115693e-07 -4.815437e-06 2.051230e+00
1.484375e-01 0.000000e+00 5.268853e-07 -4.796440e-06 2.172162e+00
1.562500e-01 0.000000e+00 5.387396e-07 -4.775600e-06 2.294227e+00
1.640625e-01 0.000000e+00 5.468366e-07 -4.752800e-06 2.417484e+00
1.718750e-01 0.000000e+00 5.507444e-07 -4.727804e-06 2.541993e+00
1.796875e-01 0.000000e+00 5.499911e-07 -4.700370e-06 2.667814e+00
1.875000e-01 0.000000e+00 5.441250e-07 -4.670386e-06 2.795006e+00
1.953125e-01 0.000000e+00 5.328108e-07 -4.637895e-06 2.923628e+00
2.031250e-01 0.000000e+00 5.158194e-07 -4.602920e-06 3.053740e+00
2.109375e-01 0.000000e+00 4.930230e-07 -4.565317e-06 3.185402e+00
2.187500e-01 0.000000e+00 4.644811e-07 -4.524952e-06 3.318672e+00
2.265625e-01 0.000000e+00 4.305096e-07 -4.481801e-06 3.453609e+00
2.343750e-01 0.000000e+00 3.917098e-07 -4.435740e-06 3.590272e+00
2.421875e-01 0.000000e+00 3.488611e-07 -4.386582e-06 3.728720e+00
2.500000e-01 0.000000e+00 3.030356e-07 -4.334167e-06 3.869009e+00
2.578125e-01 0.000000e+00 2.556640e-07 -4.278382e-06 4.011198e+00
