# y  z  Ux  Uy  Uz

0.000000e+00 0.000000e+00 2.949761e-14 1.308846e-06 -4.218696e-07
7.812500e-03 0.000000e+00 -4.459657e-09 1.312383e-06 1.111712e-01
1.562500e-02 0.000000e+00 -8.914336e-09 1.314354e-06 2.224023e-01
2.343750e-02 0.000000e+00 -1.333268e-08 1.314753e-06 3.337521e-01
3.125000e-02 0.000000e+00 -1.768126e-08 1.313572e-06 4.452802e-01
3.906250e-02 0.000000e+00 -2.192419e-08 1.310811e-06 5.570458e-01
4.687500e-02 0.000000e+00 -2.602236e-08 1.306467e-06 6.691083e-01
5.468750e-02 0.000000e+00 -2.993278e-08 1.300543e-06 7.815273e-01
6.250000e-02 0.000000e+00 -3.360746e-08 1.293045e-06 8.943620e-01
7.031250e-02 0.000000e+00 -3.699255e-08 1.283982e-06 1.007672e+00
7.812500e-02 0.000000e+00 -4.002827e-08 1.273365e-06 1.121516e+00
8.593750e-02 0.000000e+00 -4.264917e-08 1.261212e-06 1.235954e+00
9.375000e-02 0.000000e+00 -4.478438e-08 1.247540e-06 1.351046e+00
1.015625e-01 0.000000e+00 -4.635826e-08 1.232371e-06 1.466849e+00
1.093750e-01 0.000000e+00 -4.729042e-08 1.215734e-06 1.583425e+00
1.171875e-01 0.000000e+00 -4.749568e-08 1.197658e-06 1.700831e+00
1.250000e-01 0.000000e+00 -4.688555e-08 1.178182e-06 1.819128e+00
1.328125e-01 0.000000e+00 -4.536968e-08 1.157346e-06 1.938374e+00
1.406250e-01 0.000000e+00 -4.285827e-08 1.135197e-06 2.058628e+00
1.484375e-01 0.000000e+00 -3.926533e-08 1.111785e-06 2.179950e+00
1.562500e-01 0.000000e+00 -3.451092e-08 1.087168e-06 2.302397e+00
1.640625e-01 0.000000e+00 -2.852345e-08 1.061405e-06 2.426029e+00
1.718750e-01 0.000000e+00 -2.124277e-08 1.034564e-06 2.550904e+00
1.796875e-01 0.000000e+00 -1.262333e-08 1.006718e-06 2.677080e+00
1.875000e-01 0.000000e+00 -2.638745e-09 9.779434e-07 2.804616e+00
1.953125e-01 0.000000e+00 8.712451e-09 9.483235e-07 2.933570e+00
2.031250e-01 0.000000e+00 2.140137e-08 9.179457e-07 3.063998e+00
2.109375e-01 0.000000e+00 3.536334e-08 8.869009e-07 3.195958e+00
2.187500e-01 0.000000e+00 5.049261e-08 8.552846e-07 3.329507e+00
2.265625e-01 0.000000e+00 6.663796e-08 8.231940e-07 3.464701e+00
2.343750e-01 0.000000e+00 8.359918e-08 7.907292e-07 3.601597e+00
2.421875e-01 0.000000e+00 1.011248e-07 7.579938e-07 3.740250e+00
2.500000e-01 0.000000e+00 1.189134e-07 7.250914e-07 3.880714e+00
2.578125e-01 0.000000e+00 1.366195e-07 6.921270e-07 4.023045e+00
2.656250e-01 0.000000e+00 1.538641e-07 6.592051e-07 4.167297e+00
2.734375e-01 0.000000e+00 1.702517e-07 6.264269e-07 4.313521e+00
2.812500e-01 0.000000e+00 1.853914e-07 5.938922e-07 4.461771e+00
2.890625e-01 0.000000e+00 1.989207e-07 5.616974e-07 4.612098e+00
2.968750e-01 0.000000e+00 2.105288e-07 5.299356e-07 4.764552e+00
3.046875e-01 0.000000e+00 2.199746e-07 4.986959e-07 4.919183e+00
3.125000e-01 0.000000e+00 2.270938e-07 4.680633e-07 5.076040e+00
3.203125e-01 0.000000e+00 2.317897e-07 4.381161e-07 5.235170e+00
3.281250e-01 0.000000e+00 2.340008e-07 4.089273e-07 5.396620e+00
3.359375e-01 0.000000e+00 2.336463e-07 3.805628e-07 5.560434e+00
3.437500e-01 0.000000e+00 2.305500e-07 3.530826e-07 5.726657e+00
3.515625e-01 0.000000e+00 2.243551e-07 3.265397e-07 5.895331e+00
3.593750e-01 0.000000e+00 2.144483e-07 3.009808e-07 6.066496e+00
3.671875e-01 0.000000e+00 1.999199e-07 2.764432e-07 6.240192e+00
3.750000e-01 0.000000e+00 1.795937e-07 2.529584e-07 6.416457e+00
3.828125e-01 0.000000e+00 1.521631e-07 2.305455e-07 6.595327e+00
3.906250e-01 0.000000e+00 1.164578e-07 2.092191e-07 6.776835e+00
3.984375e-01 0.000000e+00 7.185367e-08 1.889766e-07 6.961016e+00
4.062500e-01 0.000000e+00 1.879944e-08 1.698141e-07 7.147899e+00
4.140625e-01 0.000000e+00 -4.061237e-08 1.516996e-07 7.337513e+00
4.218750e-01 0.000000e+00 -1.021564e-07 1.346072e-07 7.529884e+00
4.296875e-01 0.000000e+00 -1.592479e-07 1.184628e-07 7.725038e+00
4.375000e-01 0.000000e+00 -2.031893e-07 1.032159e-07 7.922996e+00
4.453125e-01 0.000000e+00 -2.240569e-07 8.873292e-08 8.123778e+00
4.531250e-01 0.000000e+00 -2.124147e-07 7.494443e-08 8.327402e+00
4.609375e-01 0.000000e+00 -1.615723e-07 6.165048e-08 8.533890e+00
4.687500e-01 0.000000e+00 -7.107145e-08 4.877877e-08 8.743232e+00
4.765625e-01 0.000000e+00 5.151501e-08 3.611949e-08 8.955514e+00
4.843750e-01 0.000000e+00 1.831785e-07 2.362207e-08 9.170510e+00
4.921875e-01 0.000000e+00 2.879973e-07 1.095953e-08 9.389073e+00
5.000000e-01 0.000000e+00 2.920014e-07 0.000000e+00 9.608861e+00
